index,0,1,2,3,4,5,6,7,8,9,10,11
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,Dividend Payout
Mar 2013,6358.0,5228.0,1130.0,18.0,32.0,169.0,185.0,809.0,15.0,690.0,6.38,24.0
Mar 2014,7224.0,6021.0,1203.0,17.0,30.0,90.0,201.0,942.0,11.0,836.0,7.85,23.0
Mar 2015,8651.0,6896.0,1756.0,20.0,45.0,68.0,287.0,1446.0,18.0,1188.0,11.24,21.0
Mar 2016,9427.0,7095.0,2332.0,25.0,112.0,53.0,292.0,2099.0,8.0,1964.0,18.89,17.0
Mar 2017,9376.0,7474.0,1902.0,20.0,127.0,45.0,373.0,1612.0,8.0,1517.0,14.53,22.0
Mar 2018,11905.0,9074.0,2831.0,24.0,111.0,91.0,539.0,2312.0,24.0,1810.0,17.35,20.0
Mar 2019,13166.0,10174.0,2991.0,23.0,183.0,194.0,599.0,2382.0,22.0,1899.0,18.06,19.0
Mar 2020,14253.0,11455.0,2798.0,20.0,-264.0,342.0,696.0,1495.0,21.0,1204.0,11.49,30.0
Mar 2021,14404.0,11013.0,3391.0,24.0,-231.0,159.0,670.0,2331.0,8.0,2185.0,20.84,17.0
Mar 2022,15110.0,11768.0,3342.0,22.0,2581.0,127.0,713.0,5084.0,10.0,4618.0,43.83,6.0
Mar 2023,17237.0,13378.0,3860.0,22.0,-422.0,130.0,723.0,2585.0,23.0,2092.0,19.37,31.0
Mar 2024,19547.0,14163.0,5384.0,28.0,293.0,81.0,764.0,4832.0,20.0,3973.0,38.36,8.0
TTM,22247.0,15684.0,6564.0,30.0,348.0,124.0,883.0,5905.0,,4675.0,45.09,
