index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Dec 2021,3640.0,2888.0,752.0,21.0,54.0,31.0,177.0,598.0,18.0,511.0,4.89
Mar 2022,3806.0,3088.0,718.0,19.0,64.0,38.0,185.0,558.0,20.0,453.0,3.88
Jun 2022,4073.0,3240.0,833.0,20.0,55.0,34.0,181.0,673.0,18.0,576.0,5.06
Sep 2022,4135.0,3319.0,815.0,20.0,50.0,35.0,182.0,648.0,21.0,526.0,5.16
Dec 2022,4257.0,3301.0,956.0,22.0,39.0,33.0,182.0,780.0,25.0,631.0,6.15
Mar 2023,5011.0,3755.0,1256.0,25.0,-566.0,28.0,179.0,484.0,28.0,358.0,2.93
Jun 2023,5140.0,3634.0,1505.0,29.0,21.0,18.0,180.0,1328.0,16.0,1134.0,10.74
Sep 2023,4369.0,3223.0,1146.0,26.0,53.0,9.0,184.0,1006.0,22.0,803.0,7.91
Dec 2023,4505.0,3403.0,1102.0,24.0,60.0,20.0,195.0,947.0,23.0,790.0,7.8
Mar 2024,5534.0,3903.0,1630.0,29.0,160.0,35.0,205.0,1550.0,21.0,1246.0,11.75
Jun 2024,6208.0,4124.0,2084.0,34.0,63.0,32.0,215.0,1900.0,23.0,1482.0,14.11
Sep 2024,5237.0,3776.0,1461.0,28.0,68.0,25.0,234.0,1271.0,29.0,920.0,9.06
Dec 2024,5269.0,3882.0,1388.0,26.0,57.0,32.0,229.0,1184.0,15.0,1026.0,10.17
