index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2013,340,25389,26600,12318,64647,19849,7834,1334,35630,64647
Mar 2014,356,27039,24133,12997,64525,18835,5979,891,38820,64525
Mar 2015,356,27013,24495,14398,66262,19619,5901,623,40119,66262
Mar 2016,357,23712,25264,12396,61729,3943,1779,21310,34697,61729
Mar 2017,357,24216,29202,10179,63954,24640,153,1209,37952,63954
Mar 2018,357,34954,17491,7783,60585,8082,137,20832,31533,60585
Mar 2019,441,33135,17222,15684,66483,6322,103,21005,39053,66483
Mar 2020,495,33952,8103,13341,55890,5187,89,18566,32049,55890
Mar 2021,495,34849,6886,11258,53488,4856,95,19746,28791,53488
Mar 2022,495,35867,4182,10623,51167,4862,81,19779,26444,51167
Mar 2023,495,37192,3334,11551,52572,4785,61,19481,28245,52572
Mar 2024,495,38936,4834,14804,59069,3880,71,20138,34981,59069
Sep 2024,495,39732,4290,18062,62579,3836,73,20900,37770,62579
