index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Dec 2021,1550.0,1028.0,521.0,34.0,-87.0,146.0,37.0,251.0,24.0,379.0,1.53
Mar 2022,1547.0,1180.0,368.0,24.0,105.0,128.0,37.0,307.0,27.0,406.0,1.64
Jun 2022,1442.0,1028.0,414.0,29.0,75.0,105.0,37.0,346.0,25.0,469.0,1.9
Sep 2022,1302.0,866.0,437.0,34.0,58.0,107.0,37.0,351.0,26.0,477.0,1.93
Dec 2022,1495.0,1018.0,477.0,32.0,65.0,95.0,39.0,408.0,27.0,518.0,2.1
Mar 2023,1456.0,1058.0,398.0,27.0,120.0,85.0,36.0,397.0,28.0,570.0,2.3
Jun 2023,1423.0,1027.0,396.0,28.0,98.0,85.0,36.0,373.0,27.0,526.0,2.13
Sep 2023,1348.0,885.0,462.0,34.0,129.0,90.0,37.0,464.0,24.0,622.0,2.52
Dec 2023,1521.0,1010.0,511.0,34.0,122.0,84.0,38.0,512.0,26.0,656.0,2.65
Mar 2024,2135.0,1381.0,754.0,35.0,182.0,98.0,37.0,802.0,21.0,920.0,3.72
Jun 2024,1362.0,1134.0,229.0,17.0,367.0,101.0,37.0,458.0,26.0,645.0,2.61
Sep 2024,1975.0,1473.0,502.0,25.0,206.0,94.0,38.0,577.0,-81.0,1381.0,5.58
Dec 2024,1529.0,1129.0,400.0,26.0,-94.0,94.0,39.0,174.0,-154.0,1059.0,4.28
