index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2014,99,1694,2574,1779,6147,64,62,0,6021,6147
Mar 2015,100,1747,3486,2030,7363,117,73,0,7173,7363
Mar 2016,108,1657,3123,1691,6578,107,1,664,5807,6578
Mar 2017,108,1896,3980,1197,7181,102,0,760,6319,7181
Mar 2018,108,1102,3703,3358,8271,113,71,1454,6633,8271
Mar 2019,115,2354,3516,2107,8092,97,100,2637,5259,8092
Mar 2020,126,4682,3715,1567,10090,113,163,3571,6243,10090
Mar 2021,139,8181,4593,3333,16245,174,229,5243,10599,16245
Mar 2022,139,8536,5196,3932,17804,183,340,4883,12397,17804
Mar 2023,139,9125,6431,7410,23105,218,653,2534,19700,23105
Mar 2024,139,9853,10679,15063,35735,997,250,3150,31337,35735
Mar 2025,151,17162,12641,25512,55466,1273,113,5951,48128,55466
