index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Mar 2022,1331.0,1120.0,211.0,16.0,192.0,43.0,6.0,354.0,27.0,259.0,9.37
Jun 2022,245.0,310.0,-66.0,-27.0,182.0,34.0,5.0,76.0,43.0,43.0,1.64
Sep 2022,165.0,275.0,-110.0,-66.0,204.0,41.0,6.0,48.0,-39.0,67.0,1.98
Dec 2022,196.0,251.0,-55.0,-28.0,208.0,46.0,6.0,101.0,44.0,56.0,2.11
Mar 2023,1646.0,1300.0,346.0,21.0,284.0,54.0,7.0,570.0,20.0,454.0,14.82
Jun 2023,936.0,1085.0,-149.0,-16.0,379.0,30.0,7.0,193.0,31.0,134.0,4.49
Sep 2023,343.0,438.0,-95.0,-28.0,262.0,48.0,7.0,111.0,35.0,73.0,2.4
Dec 2023,330.0,397.0,-66.0,-20.0,218.0,43.0,14.0,95.0,34.0,63.0,2.24
Mar 2024,1426.0,1303.0,123.0,9.0,526.0,31.0,16.0,601.0,20.0,478.0,16.95
Jun 2024,739.0,926.0,-187.0,-25.0,960.0,41.0,17.0,716.0,28.0,519.0,18.7
Sep 2024,1093.0,1064.0,29.0,3.0,253.0,45.0,18.0,219.0,-52.0,334.0,12.06
Dec 2024,969.0,960.0,9.0,1.0,271.0,42.0,18.0,220.0,28.0,158.0,5.4
Mar 2025,2122.0,2047.0,75.0,4.0,559.0,46.0,21.0,567.0,33.0,378.0,12.68
