index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2014,29,1695,3406,1630,6760,4170,235,354,2001,6760
Mar 2015,29,1645,3402,1565,6641,4130,214,200,2097,6641
Mar 2016,31,1997,3889,1507,7424,4548,195,161,2520,7424
Mar 2017,31,2119,3626,1233,7008,4500,328,410,1770,7008
Mar 2018,31,2821,3666,1979,8497,5668,503,829,1498,8497
Mar 2019,31,3443,4244,2398,10116,6522,896,745,1952,10116
Mar 2020,31,3678,4308,2528,10545,6453,1534,590,1968,10545
Mar 2021,36,5003,4063,2288,11389,7207,1274,576,2333,11389
Mar 2022,36,6547,3982,3765,14330,7508,2049,2317,2456,14330
Mar 2023,36,8344,4259,4787,17426,10964,2295,1282,2884,17426
Mar 2024,36,9422,4639,5051,19148,13137,1503,1725,2782,19148
Mar 2025,72,10377,4687,6396,21531,14466,3143,1465,2457,21531
