index,0,1,2,3,4,5,6,7,8,9,10,11
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,Dividend Payout
Mar 2014,1441.0,762.0,679.0,47.0,47.0,345.0,105.0,275.0,33.0,182.0,4.43,25.0
Mar 2015,1639.0,877.0,762.0,47.0,-63.0,396.0,168.0,136.0,36.0,91.0,1.22,90.0
Mar 2016,1769.0,978.0,790.0,45.0,-11.0,443.0,177.0,159.0,48.0,84.0,4.21,26.0
Mar 2017,1817.0,961.0,856.0,47.0,39.0,424.0,195.0,276.0,31.0,191.0,5.49,22.0
Mar 2018,1614.0,830.0,784.0,49.0,50.0,349.0,198.0,287.0,26.0,256.0,7.91,16.0
Mar 2019,1977.0,975.0,1001.0,51.0,125.0,351.0,204.0,572.0,19.0,497.0,13.73,11.0
Mar 2020,1936.0,963.0,973.0,50.0,60.0,348.0,208.0,478.0,26.0,388.0,10.91,0.0
Mar 2021,1040.0,539.0,501.0,48.0,86.0,348.0,209.0,29.0,-16.0,48.0,1.68,31.0
Mar 2022,1460.0,725.0,735.0,50.0,74.0,295.0,186.0,328.0,24.0,268.0,6.65,18.0
Mar 2023,2616.0,1096.0,1519.0,58.0,721.0,341.0,228.0,1671.0,12.0,1478.0,37.37,7.0
Mar 2024,3972.0,1790.0,2182.0,55.0,126.0,396.0,270.0,1643.0,19.0,1333.0,30.76,8.0
Mar 2025,3814.0,1652.0,2161.0,57.0,164.0,403.0,327.0,1595.0,18.0,1307.0,27.53,9.0
