index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Mar 2022,495.0,254.0,241.0,49.0,24.0,78.0,44.0,143.0,18.0,122.0,2.94
Jun 2022,574.0,251.0,323.0,56.0,580.0,74.0,50.0,779.0,4.0,752.0,20.13
Sep 2022,651.0,270.0,381.0,58.0,32.0,83.0,56.0,274.0,19.0,222.0,5.2
Dec 2022,684.0,299.0,384.0,56.0,35.0,87.0,57.0,276.0,23.0,211.0,4.94
Mar 2023,729.0,298.0,431.0,59.0,74.0,97.0,65.0,343.0,14.0,292.0,7.11
Jun 2023,811.0,318.0,492.0,61.0,29.0,96.0,63.0,363.0,20.0,291.0,6.73
Sep 2023,875.0,369.0,506.0,58.0,32.0,96.0,66.0,375.0,19.0,305.0,7.07
Dec 2023,986.0,434.0,552.0,56.0,34.0,104.0,66.0,416.0,17.0,345.0,7.82
Mar 2024,1306.0,679.0,627.0,48.0,37.0,100.0,76.0,489.0,20.0,392.0,9.14
Jun 2024,904.0,373.0,531.0,59.0,38.0,103.0,77.0,388.0,19.0,315.0,6.5
Sep 2024,918.0,400.0,518.0,56.0,37.0,103.0,78.0,374.0,22.0,292.0,6.1
Dec 2024,975.0,422.0,553.0,57.0,46.0,103.0,81.0,415.0,15.0,353.0,7.41
Mar 2025,1016.0,457.0,560.0,55.0,42.0,94.0,90.0,418.0,17.0,348.0,7.52
