index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2013,350,2392,2539,2375,7656,2030,912,175,4539,7656
Mar 2014,350,2629,3154,3208,9342,2377,995,289,5680,9342
Mar 2015,375,3446,4071,4463,12355,3010,776,279,8291,12355
Mar 2016,375,3825,5374,6886,16460,932,982,3296,11250,16460
Mar 2017,375,4040,5739,6676,16830,3622,1795,355,11058,16830
Mar 2018,375,4358,7416,6754,18902,5135,2508,435,10825,18902
Mar 2019,375,3852,8487,15720,28433,6732,1645,778,19277,28433
Mar 2020,401,4959,9272,14844,29476,8986,2143,789,17558,29476
Mar 2021,401,7600,4898,12201,25100,3780,2740,907,17672,25100
Mar 2022,401,8694,7412,13664,30171,5858,1725,772,21816,30171
Mar 2023,401,9574,9420,16876,36271,6780,2399,1023,26069,36271
Mar 2024,401,10888,13458,23227,47974,8669,2137,1279,35889,47974
Sep 2024,431,16121,12351,25652,54556,9323,2059,1380,41793,54556
