index,0,1,2,3,4,5,6,7,8,9,10,11
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,Dividend Payout
Mar 2013,1948.0,1368.0,579.0,30.0,64.0,149.0,68.0,426.0,31.0,291.0,8.17,15.0
Mar 2014,2549.0,1829.0,720.0,28.0,97.0,229.0,89.0,500.0,35.0,321.0,8.98,17.0
Mar 2015,3420.0,2426.0,994.0,29.0,99.0,321.0,140.0,631.0,42.0,367.0,8.86,17.0
Mar 2016,5531.0,4464.0,1068.0,19.0,288.0,346.0,127.0,882.0,26.0,653.0,16.26,7.0
Mar 2017,4774.0,3855.0,920.0,19.0,99.0,316.0,164.0,539.0,31.0,373.0,7.06,17.0
Mar 2018,5499.0,4222.0,1277.0,23.0,82.0,566.0,155.0,638.0,33.0,425.0,9.9,12.0
Mar 2019,5172.0,3718.0,1454.0,28.0,232.0,723.0,323.0,640.0,31.0,442.0,11.08,14.0
Mar 2020,8125.0,5769.0,2356.0,29.0,161.0,1023.0,667.0,827.0,34.0,549.0,10.06,15.0
Mar 2021,7242.0,5308.0,1934.0,27.0,3036.0,979.0,593.0,3398.0,15.0,2878.0,69.41,2.0
Mar 2022,6390.0,4872.0,1517.0,24.0,1018.0,555.0,471.0,1509.0,20.0,1215.0,28.69,5.0
Mar 2023,8315.0,6227.0,2088.0,25.0,780.0,807.0,647.0,1414.0,25.0,1067.0,23.49,6.0
Mar 2024,7877.0,5379.0,2498.0,32.0,1560.0,1219.0,716.0,2122.0,23.0,1629.0,34.28,5.0
TTM,7985.0,5170.0,2814.0,35.0,433.0,1472.0,793.0,983.0,,810.0,14.16,
