index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Dec 2021,1328.0,965.0,362.0,27.0,20.0,129.0,113.0,140.0,33.0,94.0,2.2
Mar 2022,2400.0,1901.0,500.0,21.0,903.0,174.0,130.0,1098.0,14.0,945.0,23.43
Jun 2022,1938.0,1479.0,459.0,24.0,223.0,185.0,147.0,351.0,28.0,251.0,5.11
Sep 2022,1428.0,1061.0,367.0,26.0,193.0,186.0,163.0,211.0,30.0,149.0,3.51
Dec 2022,2317.0,1745.0,572.0,25.0,30.0,201.0,170.0,232.0,30.0,162.0,3.19
Mar 2023,2632.0,1950.0,682.0,26.0,341.0,235.0,168.0,620.0,19.0,505.0,11.68
Jun 2023,1681.0,1158.0,522.0,31.0,285.0,238.0,166.0,404.0,21.0,318.0,6.66
Sep 2023,2236.0,1651.0,585.0,26.0,1020.0,264.0,174.0,1167.0,22.0,910.0,21.23
Dec 2023,1796.0,1261.0,535.0,30.0,175.0,293.0,180.0,237.0,31.0,165.0,2.9
Mar 2024,2164.0,1336.0,828.0,38.0,108.0,424.0,197.0,314.0,25.0,236.0,3.49
Jun 2024,1862.0,1079.0,784.0,42.0,162.0,346.0,190.0,409.0,25.0,307.0,5.8
Sep 2024,2304.0,1684.0,620.0,27.0,119.0,356.0,200.0,183.0,-28.0,235.0,4.46
Dec 2024,1654.0,1071.0,583.0,35.0,43.0,345.0,205.0,77.0,58.0,32.0,0.41
