index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Dec 2021,2987.0,2405.0,582.0,19.0,27.0,88.0,251.0,269.0,27.0,197.0,2.02
Mar 2022,2283.0,1910.0,373.0,16.0,28.0,89.0,267.0,45.0,29.0,32.0,0.46
Jun 2022,2875.0,2406.0,468.0,16.0,32.0,94.0,270.0,135.0,30.0,94.0,1.04
Sep 2022,3075.0,2679.0,396.0,13.0,22.0,104.0,291.0,24.0,-24.0,29.0,0.4
Dec 2022,3589.0,3153.0,436.0,12.0,31.0,132.0,318.0,17.0,36.0,11.0,0.17
Mar 2023,2880.0,2687.0,193.0,7.0,39.0,142.0,348.0,-259.0,-25.0,-195.0,-1.97
Jun 2023,3196.0,2904.0,292.0,9.0,61.0,187.0,367.0,-201.0,-20.0,-162.0,-1.49
Sep 2023,3226.0,2904.0,323.0,10.0,46.0,208.0,389.0,-229.0,-12.0,-200.0,-1.89
Dec 2023,4167.0,3613.0,553.0,13.0,51.0,245.0,444.0,-85.0,27.0,-108.0,-0.82
Mar 2024,3407.0,3123.0,284.0,8.0,93.0,236.0,455.0,-314.0,-15.0,-266.0,-2.26
Jun 2024,3428.0,3070.0,358.0,10.0,48.0,220.0,436.0,-250.0,-14.0,-215.0,-1.59
Sep 2024,3644.0,3286.0,358.0,10.0,75.0,250.0,461.0,-278.0,-23.0,-215.0,-1.74
Dec 2024,4305.0,3679.0,626.0,15.0,57.0,247.0,472.0,-36.0,17.0,-42.0,-0.48
