index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2014,547,409,641,211,1808,1172,89,16,532,1808
Mar 2015,562,638,904,251,2355,1528,98,15,713,2355
Mar 2016,562,959,1192,389,3102,2094,82,29,897,3102
Mar 2017,624,3218,1497,480,5819,2578,153,26,3063,5819
Mar 2018,624,4045,439,540,5648,3400,147,68,2033,5648
Mar 2019,624,4963,700,718,7006,4400,377,17,2212,7006
Mar 2020,648,10432,333,663,12076,5948,364,15,5749,12076
Mar 2021,648,11536,393,1079,13655,7009,1020,3,5624,13655
Mar 2022,648,13030,647,1146,15471,9260,1129,6,5076,15471
Mar 2023,648,15430,643,1383,18105,11340,829,202,5733,18105
Mar 2024,651,18047,592,1882,21172,13415,935,107,6716,21172
Mar 2025,651,20777,820,2073,24320,16206,1099,3,7011,24320
