index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Mar 2022,8786.0,8047.0,739.0,8.0,33.0,17.0,146.0,609.0,30.0,427.0,6.59
Jun 2022,10038.0,9030.0,1008.0,10.0,29.0,17.0,145.0,875.0,27.0,643.0,9.93
Sep 2022,10638.0,9746.0,892.0,8.0,36.0,18.0,162.0,748.0,8.0,686.0,10.59
Dec 2022,11569.0,10604.0,965.0,8.0,32.0,17.0,168.0,812.0,27.0,590.0,9.1
Mar 2023,10594.0,9823.0,772.0,7.0,33.0,16.0,164.0,625.0,26.0,460.0,7.1
Jun 2023,11865.0,10830.0,1035.0,9.0,39.0,15.0,162.0,897.0,27.0,659.0,10.12
Sep 2023,12624.0,11619.0,1005.0,8.0,37.0,16.0,174.0,852.0,27.0,623.0,9.58
Dec 2023,13572.0,12453.0,1120.0,8.0,33.0,15.0,189.0,949.0,27.0,690.0,10.61
Mar 2024,12727.0,11783.0,944.0,7.0,38.0,13.0,205.0,763.0,26.0,563.0,8.66
Jun 2024,14069.0,12848.0,1221.0,9.0,42.0,16.0,193.0,1054.0,27.0,774.0,11.89
Sep 2024,14444.0,13351.0,1094.0,8.0,34.0,16.0,208.0,903.0,27.0,659.0,10.14
Dec 2024,15973.0,14755.0,1217.0,8.0,24.0,18.0,228.0,995.0,27.0,724.0,11.12
Mar 2025,14872.0,13917.0,955.0,6.0,25.0,19.0,241.0,720.0,24.0,551.0,8.47
