index,0,1,2,3,4,5,6,7,8,9,10,11
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,Dividend Payout
Mar 2014,433521.0,398586.0,34935.0,8.0,8865.0,3836.0,11201.0,28763.0,22.0,22548.0,16.31,12.0
Mar 2015,374372.0,336923.0,37449.0,10.0,8528.0,3316.0,11547.0,31114.0,24.0,23640.0,17.07,12.0
Mar 2016,272583.0,230802.0,41781.0,15.0,12212.0,3691.0,11565.0,38737.0,23.0,29861.0,21.51,10.0
Mar 2017,303954.0,257647.0,46307.0,15.0,9222.0,3849.0,11646.0,40034.0,25.0,29833.0,21.55,11.0
Mar 2018,390823.0,326508.0,64315.0,16.0,9869.0,8052.0,16706.0,49426.0,27.0,36080.0,26.69,10.0
Mar 2019,568337.0,484087.0,84250.0,15.0,8406.0,16495.0,20934.0,55227.0,28.0,39837.0,29.28,10.0
Mar 2020,596679.0,507413.0,89266.0,15.0,8570.0,22027.0,22203.0,53606.0,26.0,39880.0,29.1,10.0
Mar 2021,466307.0,385517.0,80790.0,17.0,22432.0,21189.0,26572.0,55461.0,3.0,53739.0,38.75,9.0
Mar 2022,694673.0,586092.0,108581.0,16.0,19600.0,14584.0,29782.0,83815.0,19.0,67845.0,44.87,9.0
Mar 2023,876396.0,734078.0,142318.0,16.0,12020.0,19571.0,40303.0,94464.0,22.0,74088.0,49.29,9.0
Mar 2024,899041.0,736543.0,162498.0,18.0,16179.0,23118.0,50832.0,104727.0,25.0,79020.0,51.45,10.0
Mar 2025,964693.0,799249.0,165444.0,17.0,17978.0,24269.0,53136.0,106017.0,24.0,81309.0,51.47,11.0
