index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2014,89,2434,807,2781,6111,614,33,3,5461,6111
Mar 2015,89,2995,100,2684,5868,699,55,3,5111,5868
Mar 2016,89,3418,113,2723,6342,771,107,30,5434,6342
Mar 2017,89,4144,1882,2293,8408,1189,152,431,6636,8408
Mar 2018,89,5001,1691,2740,9521,1474,43,36,7968,9521
Mar 2019,89,5981,2393,3247,11710,1567,32,108,10003,11710
Mar 2020,89,6580,3562,3313,13544,2633,18,158,10735,13544
Mar 2021,89,7408,5638,3309,16444,2523,32,2824,11065,16444
Mar 2022,89,9214,7275,4610,21188,2544,85,294,18265,21188
Mar 2023,89,11762,9367,5802,27020,2998,144,2515,21363,27020
Mar 2024,89,9304,15528,6626,31547,3709,97,2345,25396,31547
Mar 2025,89,11535,12967,16056,40647,4074,93,1988,34492,40647
