index,0,1,2,3,4,5,6,7,8,9,10,11
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,Dividend Payout
Mar 2014,10927.0,9880.0,1047.0,10.0,117.0,87.0,68.0,1010.0,27.0,735.0,8.28,25.0
Mar 2015,11913.0,10761.0,1153.0,10.0,67.0,81.0,90.0,1049.0,22.0,816.0,9.19,25.0
Mar 2016,11276.0,10337.0,939.0,8.0,69.0,42.0,98.0,868.0,22.0,675.0,7.6,29.0
Mar 2017,13261.0,12097.0,1164.0,9.0,-42.0,38.0,111.0,973.0,28.0,697.0,8.01,32.0
Mar 2018,16120.0,14476.0,1644.0,10.0,70.0,53.0,131.0,1530.0,28.0,1102.0,12.73,29.0
Mar 2019,19779.0,17785.0,1994.0,10.0,178.0,53.0,163.0,1957.0,29.0,1389.0,15.82,32.0
Mar 2020,21052.0,18589.0,2463.0,12.0,153.0,166.0,348.0,2102.0,29.0,1493.0,16.91,24.0
Mar 2021,21644.0,19919.0,1725.0,8.0,180.0,203.0,375.0,1327.0,27.0,974.0,10.96,37.0
Mar 2022,28799.0,25455.0,3344.0,12.0,177.0,218.0,399.0,2904.0,24.0,2198.0,24.48,31.0
Mar 2023,40575.0,35693.0,4882.0,12.0,306.0,300.0,441.0,4447.0,26.0,3274.0,36.61,27.0
Mar 2024,51084.0,45792.0,5292.0,10.0,534.0,619.0,584.0,4623.0,24.0,3496.0,39.38,28.0
Mar 2025,60456.0,54762.0,5694.0,9.0,487.0,953.0,693.0,4535.0,26.0,3337.0,37.59,29.0
