index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Mar 2022,7796.0,7002.0,794.0,10.0,22.0,61.0,102.0,653.0,19.0,527.0,5.74
Jun 2022,9443.0,8247.0,1196.0,13.0,44.0,65.0,103.0,1072.0,26.0,790.0,8.84
Sep 2022,9163.0,7916.0,1247.0,14.0,61.0,60.0,106.0,1142.0,27.0,835.0,9.36
Dec 2022,11609.0,10262.0,1347.0,12.0,90.0,79.0,113.0,1245.0,27.0,913.0,10.18
Mar 2023,10360.0,9271.0,1089.0,11.0,114.0,96.0,119.0,988.0,26.0,736.0,8.22
Jun 2023,11897.0,10772.0,1125.0,9.0,114.0,109.0,128.0,1002.0,25.0,756.0,8.48
Sep 2023,12529.0,11118.0,1411.0,11.0,125.0,140.0,144.0,1252.0,27.0,916.0,10.31
Dec 2023,14164.0,12599.0,1565.0,11.0,136.0,169.0,154.0,1378.0,24.0,1053.0,11.86
Mar 2024,12494.0,11303.0,1191.0,10.0,159.0,201.0,158.0,991.0,22.0,771.0,8.68
Jun 2024,13266.0,12019.0,1247.0,9.0,120.0,230.0,164.0,973.0,27.0,715.0,8.05
Sep 2024,14534.0,13298.0,1236.0,8.0,123.0,240.0,171.0,948.0,26.0,704.0,7.93
Dec 2024,17740.0,16066.0,1674.0,9.0,128.0,231.0,175.0,1396.0,25.0,1047.0,11.79
Mar 2025,14916.0,13379.0,1537.0,10.0,116.0,252.0,183.0,1218.0,28.0,871.0,9.81
