index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Dec 2013,134,82,2332,439,2986,2375,27,1,583,2986
Dec 2014,134,9,2615,533,3292,2355,25,304,608,3292
Dec 2015,134,91,2527,1680,4431,3496,38,3,894,4431
Dec 2016,182,1511,2215,915,4824,3716,96,7,1006,4824
Dec 2017,183,1587,2654,852,5276,3981,145,8,1141,5276
Dec 2018,183,1816,2808,1192,5998,4387,352,11,1247,5998
Dec 2019,289,3040,3417,1630,8376,6479,64,0,1833,8376
Dec 2020,289,3235,3216,1707,8447,6409,67,0,1972,8447
Dec 2021,433,3647,3387,2113,9579,6311,497,0,2772,9579
Dec 2022,650,4453,3884,2632,11618,6932,607,0,4079,11618
Dec 2023,650,6287,5431,2819,15187,8409,1922,21,4835,15187
Dec 2024,676,15934,2826,3688,23124,13402,1167,60,8496,23124
