index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Mar 2022,2827.0,2296.0,531.0,19.0,9.0,47.0,131.0,361.0,25.0,271.0,0.78
Jun 2022,4955.0,3704.0,1251.0,25.0,10.0,46.0,153.0,1062.0,24.0,802.0,2.42
Sep 2022,3177.0,2478.0,699.0,22.0,11.0,45.0,153.0,511.0,23.0,395.0,1.17
Dec 2022,2214.0,1907.0,307.0,14.0,9.0,47.0,180.0,90.0,9.0,82.0,0.23
Mar 2023,3893.0,3095.0,798.0,20.0,10.0,63.0,172.0,573.0,24.0,439.0,1.32
Jun 2023,5611.0,4101.0,1511.0,27.0,42.0,69.0,172.0,1311.0,23.0,1005.0,3.06
Sep 2023,3871.0,2989.0,882.0,23.0,19.0,62.0,171.0,667.0,23.0,514.0,1.54
Dec 2023,2668.0,2249.0,418.0,16.0,9.0,74.0,166.0,188.0,24.0,144.0,0.41
Mar 2024,4317.0,3329.0,989.0,23.0,8.0,94.0,188.0,716.0,23.0,548.0,1.65
Jun 2024,7197.0,5206.0,1991.0,28.0,44.0,129.0,242.0,1663.0,24.0,1262.0,3.86
Sep 2024,4805.0,3654.0,1151.0,24.0,24.0,119.0,257.0,800.0,21.0,629.0,1.91
Dec 2024,3689.0,3110.0,579.0,16.0,45.0,109.0,261.0,254.0,23.0,196.0,0.55
Mar 2025,5567.0,4304.0,1263.0,23.0,28.0,41.0,273.0,978.0,25.0,731.0,2.15
