index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2014,1999,57757,75896,45840,181492,140614,0,15531,25347,181492
Mar 2015,1999,37778,83415,58747,181939,124279,17415,10752,29494,181939
Mar 2016,1999,64771,100646,57056,224472,172293,5702,11977,34500,224472
Mar 2017,1999,65458,107288,57578,232322,178235,10838,14339,28910,232322
Mar 2018,1999,67536,111334,68653,249521,187200,9751,16159,36411,249521
Mar 2019,1999,69424,125428,77176,274026,200832,9634,15711,47850,274026
Mar 2020,2728,74417,148228,133718,359091,229256,4282,25476,100077,359091
Mar 2021,2746,56207,162785,122679,344417,223480,5726,27550,87661,344417
Mar 2022,2795,63759,169678,124975,361207,244083,5955,29349,81820,361207
Mar 2023,2837,74726,226020,140974,444557,277394,49425,32954,84784,444557
Mar 2024,2877,79142,215592,144408,442019,303303,16904,31602,90210,442019
Mar 2025,2900,110772,213642,187046,514360,388871,10596,5838,109055,514360
