index,0,1,2,3
Unnamed 0,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow
Mar 2014,26233,-25181,2774,3826
Mar 2015,28059,-22301,-9672,-3914
Mar 2016,27942,-14091,-11946,1905
Mar 2017,28280,-30680,-351,-2752
Mar 2018,29854,-27940,1920,3835
Mar 2019,20070,-28286,9464,1248
Mar 2020,18129,-29598,19144,7675
Mar 2021,48205,-27286,-24910,-3991
Mar 2022,55017,-41478,-15203,-1664
Mar 2023,65325,-39232,-24470,1623
Mar 2024,78898,-51089,-27778,31
Mar 2025,98332,-60270,-36533,1529
