index,0,1,2,3,4,5,6,7,8,9,10,11
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,Dividend Payout
Mar 2014,85864.0,59352.0,26512.0,31.0,2881.0,5879.0,15650.0,7864.0,62.0,3019.0,5.04,26.0
Mar 2015,96101.0,62499.0,33602.0,35.0,1243.0,4446.0,19858.0,10540.0,52.0,5048.0,8.41,33.0
Mar 2016,96532.0,62548.0,33984.0,35.0,4858.0,8546.0,17450.0,12846.0,46.0,6893.0,11.05,9.0
Mar 2017,95468.0,60138.0,35330.0,37.0,1713.0,9547.0,19773.0,7723.0,45.0,4241.0,6.91,11.0
Mar 2018,82639.0,52560.0,30079.0,36.0,1756.0,9326.0,19243.0,3267.0,33.0,2184.0,2.0,194.0
Mar 2019,80780.0,55016.0,25764.0,32.0,4474.0,10622.0,21348.0,-1732.0,-197.0,1688.0,0.74,244.0
Mar 2020,87539.0,50930.0,36610.0,42.0,-37775.0,13992.0,27690.0,-42846.0,-28.0,-30664.0,-55.06,-3.0
Mar 2021,100616.0,55337.0,45279.0,45.0,-4215.0,15091.0,29404.0,-3432.0,260.0,-12364.0,-25.63,0.0
Mar 2022,116547.0,59013.0,57534.0,49.0,4656.0,16616.0,33091.0,12483.0,33.0,8305.0,7.23,39.0
Mar 2023,139145.0,67871.0,71274.0,51.0,1019.0,19300.0,36432.0,16561.0,26.0,12287.0,14.97,27.0
Mar 2024,149982.0,71691.0,78292.0,52.0,-3428.0,22648.0,39538.0,12679.0,32.0,8558.0,13.2,62.0
Mar 2025,172985.0,79826.0,93159.0,54.0,12564.0,21754.0,45570.0,38398.0,2.0,37481.0,58.85,28.0
