index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Mar 2022,31500.0,15460.0,16040.0,51.0,1638.0,4059.0,8583.0,5037.0,26.0,3715.0,3.41
Jun 2022,32805.0,16275.0,16529.0,50.0,355.0,4511.0,8781.0,3592.0,31.0,2469.0,2.73
Sep 2022,34527.0,16933.0,17594.0,51.0,559.0,4940.0,8947.0,4265.0,30.0,2979.0,3.86
Dec 2022,35804.0,17720.0,18085.0,51.0,-412.0,4686.0,9298.0,3689.0,29.0,2614.0,2.85
Mar 2023,36009.0,17312.0,18697.0,52.0,886.0,5163.0,9406.0,5014.0,16.0,4226.0,5.39
Jun 2023,37440.0,17842.0,19598.0,52.0,-2478.0,5614.0,9654.0,1853.0,18.0,1520.0,2.89
Sep 2023,37044.0,17530.0,19514.0,53.0,-654.0,5186.0,9734.0,3940.0,47.0,2093.0,2.39
Dec 2023,37900.0,18085.0,19815.0,52.0,1013.0,6645.0,10074.0,4108.0,30.0,2876.0,4.34
Mar 2024,37599.0,18234.0,19365.0,52.0,-1308.0,5203.0,10075.0,2778.0,26.0,2068.0,3.66
Jun 2024,38506.0,18799.0,19708.0,51.0,2010.0,5152.0,10540.0,6025.0,22.0,4718.0,7.31
Sep 2024,41473.0,19627.0,21846.0,53.0,475.0,5424.0,11000.0,5897.0,30.0,4153.0,6.31
Dec 2024,45129.0,20533.0,24597.0,54.0,9675.0,5676.0,11704.0,16892.0,4.0,16135.0,25.95
Mar 2025,47876.0,20867.0,27009.0,56.0,403.0,5502.0,12326.0,9584.0,-30.0,12476.0,19.33
