index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2013,3314,10989,14046,8029,36378,29160,881,1028,5309,36378
Mar 2014,3320,13205,20637,9396,46557,29602,11419,216,5321,46557
Mar 2015,3598,19429,26859,10580,60467,35540,5141,11527,8260,60467
Mar 2016,3601,19950,40541,16034,80126,65190,6040,3471,5425,80126
Mar 2017,3605,21127,55055,16881,96668,76763,7535,6378,5991,96668
Mar 2018,4359,22903,57985,13264,98511,79692,3585,7290,7944,98511
Mar 2019,8736,50899,125940,44078,229652,177800,5103,8239,38511,229652
Mar 2020,28735,-22756,114996,105942,226918,185836,1138,1979,37964,226918
Mar 2021,28735,-66963,201720,39986,203478,167490,606,4,35378,203478
Mar 2022,32119,-94084,213761,42233,194029,156819,364,5,36841,194029
Mar 2023,48680,-123039,237766,43836,207243,156255,17876,6,33105,207243
Mar 2024,50120,-154287,243809,45355,184997,140125,18189,0,26683,184997
Sep 2024,69700,-165096,250167,42226,196997,155055,808,417,40717,196997
