index,0,1,2,3
Unnamed 0,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow
Mar 2013,6297,-3411,-1965,921
Mar 2014,8219,-6565,-2466,-811
Mar 2015,10418,-5726,8028,12720
Mar 2016,10949,-2389,-9330,-770
Mar 2017,10476,-15556,4506,-574
Mar 2018,5332,-9303,3925,-46
Mar 2019,5348,-1640,-2949,758
Mar 2020,7328,-2698,-5019,-389
Mar 2021,15640,1075,-16731,-17
Mar 2022,17387,-5730,-10554,1103
Mar 2023,18869,-5414,-14680,-1224
Mar 2024,20826,-1907,-18980,-61
