index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2013,258,1996,2461,1519,6233,2694,208,68,3263,6233
Mar 2014,258,2325,2992,1788,7363,2893,135,129,4207,7363
Mar 2015,258,2466,3397,1855,7976,3208,100,59,4609,7976
Mar 2016,258,2388,3819,1659,8125,3357,147,544,4077,8125
Mar 2017,258,3309,2926,2032,8525,3672,96,277,4481,8525
Mar 2018,259,3524,3323,3082,10188,3962,116,76,6033,10188
Mar 2019,259,2492,2700,1872,7322,3421,262,78,3561,7322
Mar 2020,259,2450,2640,1790,7138,3835,113,90,3100,7138
Mar 2021,259,2460,2121,1872,6713,3590,78,70,2974,6713
Mar 2022,261,2690,1865,2881,7697,3481,46,66,4104,7697
Mar 2023,262,3084,1517,2035,6898,3427,80,211,3180,6898
Mar 2024,262,3281,1448,2254,7245,3421,117,167,3539,7245
Sep 2024,262,3249,1560,2392,7463,3460,282,162,3559,7463
