index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Dec 2021,2270.0,2029.0,241.0,11.0,9.0,41.0,65.0,145.0,35.0,94.0,3.56
Mar 2022,2197.0,1959.0,238.0,11.0,-7.0,40.0,62.0,128.0,33.0,86.0,3.18
Jun 2022,2352.0,2132.0,220.0,9.0,1.0,40.0,62.0,119.0,15.0,102.0,3.77
Sep 2022,2170.0,1968.0,202.0,9.0,52.0,42.0,62.0,150.0,15.0,127.0,4.79
Dec 2022,1980.0,1793.0,186.0,9.0,22.0,43.0,63.0,102.0,15.0,87.0,3.22
Mar 2023,1881.0,1690.0,191.0,10.0,26.0,38.0,66.0,113.0,14.0,97.0,3.71
Jun 2023,1853.0,1673.0,180.0,10.0,13.0,37.0,65.0,92.0,24.0,70.0,2.52
Sep 2023,1922.0,1716.0,206.0,11.0,13.0,39.0,67.0,113.0,26.0,84.0,3.06
Dec 2023,1888.0,1673.0,216.0,11.0,10.0,39.0,66.0,120.0,21.0,94.0,3.51
Mar 2024,2075.0,1832.0,243.0,12.0,8.0,45.0,67.0,138.0,24.0,104.0,3.79
Jun 2024,1831.0,1681.0,150.0,8.0,13.0,40.0,68.0,54.0,19.0,44.0,1.5
Sep 2024,2188.0,1967.0,221.0,10.0,12.0,39.0,60.0,135.0,53.0,63.0,2.28
Dec 2024,2089.0,1853.0,236.0,11.0,11.0,40.0,62.0,145.0,27.0,106.0,3.95
