index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2013,92,19565,9550,14916,44123,20561,6084,8011,9467,44123
Mar 2014,92,21523,9681,16441,47736,25209,4045,7611,10872,47736
Mar 2015,92,23048,11930,18963,54033,31828,2755,7255,12194,54033
Mar 2016,93,27336,12505,19642,59576,34271,1788,10601,12916,59576
Mar 2017,93,31294,9213,22147,62747,34786,1297,14200,12464,62747
Mar 2018,131,57230,67070,83467,207899,69257,2290,65995,70356,207899
Mar 2019,132,57888,84487,98620,241127,87129,2766,62747,88484,241127
Mar 2020,132,56501,84777,102772,244181,87736,3904,66337,86204,244181
Mar 2021,132,65362,79078,122777,267349,85023,5769,88017,88540,267349
Mar 2022,132,75567,74744,138706,289149,88996,6615,96766,96771,289149
Mar 2023,132,78610,103039,155042,336823,94896,7778,105355,128793,336823
Mar 2024,133,88520,137155,186309,412116,100494,18358,129306,163959,412116
Sep 2024,134,92784,158159,197376,448454,109643,15903,102453,220454,448454
