index,0,1,2,3,4,5,6,7,8,9,10,11
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,Dividend Payout
Mar 2013,27909.0,21986.0,5924.0,21.0,824.0,324.0,1252.0,5171.0,28.0,3778.0,56.99,8.0
Mar 2014,28331.0,23416.0,4915.0,17.0,576.0,447.0,1457.0,3586.0,20.0,2954.0,43.66,9.0
Mar 2015,31734.0,26590.0,5144.0,16.0,530.0,667.0,1563.0,3443.0,30.0,2582.0,36.75,9.0
Mar 2016,34487.0,28576.0,5911.0,17.0,1320.0,718.0,1834.0,4679.0,26.0,3455.0,51.15,9.0
Mar 2017,36068.0,28682.0,7387.0,20.0,1076.0,702.0,1808.0,5952.0,29.0,4246.0,65.64,8.0
Mar 2018,55894.0,44281.0,11612.0,21.0,410.0,3663.0,2724.0,5635.0,35.0,3688.0,39.43,15.0
Mar 2019,77200.0,60560.0,16640.0,22.0,-1846.0,6060.0,3571.0,5163.0,47.0,2745.0,24.91,27.0
Mar 2020,68252.0,57880.0,10373.0,15.0,7076.0,6890.0,4004.0,6554.0,-1.0,6639.0,64.9,6.0
Mar 2021,76404.0,57769.0,18635.0,24.0,1130.0,5723.0,4033.0,10009.0,30.0,6987.0,63.3,14.0
Mar 2022,95701.0,75270.0,20431.0,21.0,1648.0,4776.0,4161.0,13143.0,15.0,11206.0,110.96,9.0
Mar 2023,117627.0,96038.0,21589.0,18.0,3733.0,6044.0,4552.0,14727.0,25.0,11078.0,100.33,10.0
Mar 2024,130978.0,103783.0,27195.0,21.0,783.0,9277.0,5001.0,13700.0,28.0,9926.0,85.42,12.0
TTM,139944.0,112534.0,27410.0,20.0,1094.0,11459.0,5724.0,11321.0,,7934.0,58.71,
