index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Dec 2021,24402.0,19531.0,4871.0,20.0,231.0,1146.0,1026.0,2931.0,9.0,2655.0,25.66
Mar 2022,28811.0,23470.0,5341.0,19.0,581.0,1188.0,1128.0,3606.0,-13.0,4070.0,40.82
Jun 2022,28042.0,22059.0,5983.0,21.0,221.0,1246.0,1089.0,3869.0,29.0,2759.0,28.42
Sep 2022,27486.0,22894.0,4591.0,17.0,254.0,1373.0,1116.0,2356.0,36.0,1509.0,14.83
Dec 2022,28638.0,23775.0,4863.0,17.0,2972.0,1608.0,1139.0,5087.0,12.0,4455.0,36.97
Mar 2023,33462.0,27332.0,6131.0,18.0,308.0,1816.0,1207.0,3415.0,31.0,2356.0,20.12
Jun 2023,31065.0,24708.0,6357.0,20.0,296.0,2032.0,1183.0,3438.0,25.0,2576.0,23.17
Sep 2023,30221.0,24173.0,6048.0,20.0,285.0,2226.0,1245.0,2862.0,29.0,2024.0,17.1
Dec 2023,31965.0,25073.0,6893.0,22.0,256.0,2433.0,1244.0,3472.0,25.0,2603.0,22.25
Mar 2024,37727.0,29835.0,7892.0,21.0,-48.0,2586.0,1329.0,3928.0,31.0,2722.0,20.8
Jun 2024,33861.0,27156.0,6705.0,20.0,365.0,2725.0,1368.0,2976.0,24.0,2268.0,18.34
Sep 2024,33563.0,27546.0,6017.0,18.0,398.0,2951.0,1496.0,1968.0,44.0,1100.0,5.92
Dec 2024,34793.0,27997.0,6796.0,20.0,379.0,3196.0,1532.0,2448.0,25.0,1844.0,13.65
