index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2014,61,1405,1901,1056,4422,1256,174,515,2477,4422
Mar 2015,61,1480,1881,1227,4650,1274,196,427,2753,4650
Mar 2016,61,1611,2063,1170,4905,1174,240,609,2881,4905
Mar 2017,61,1612,2140,1425,5238,1169,412,640,3016,5238
Mar 2018,61,1751,2353,1925,6090,1741,271,636,3443,6090
Mar 2019,61,1892,2468,2219,6640,1935,114,540,4051,6640
Mar 2020,65,2311,2556,2790,7722,2441,40,598,4644,7722
Mar 2021,67,2031,2413,2220,6730,2044,21,500,4164,6730
Mar 2022,67,2293,2353,2654,7366,1878,25,1100,4363,7366
Mar 2023,67,2832,2529,2779,8207,1934,36,1639,4598,8207
Mar 2024,67,4551,4181,4203,13001,3475,99,2826,6601,13001
Mar 2025,67,3650,740,3260,7716,1778,5,1120,4814,7716
