index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Mar 2022,1958.0,1674.0,284.0,15.0,-35.0,57.0,59.0,133.0,-100.0,265.0,39.54
Jun 2022,1728.0,1520.0,208.0,12.0,28.0,59.0,58.0,118.0,31.0,82.0,12.15
Sep 2022,2168.0,1833.0,335.0,15.0,19.0,63.0,58.0,233.0,30.0,162.0,23.85
Dec 2022,2168.0,1854.0,314.0,14.0,27.0,70.0,58.0,213.0,55.0,97.0,14.24
Mar 2023,2150.0,1813.0,337.0,16.0,-38.0,64.0,62.0,173.0,-13.0,196.0,29.18
Jun 2023,473.0,431.0,42.0,9.0,1065.0,8.0,16.0,1083.0,2.0,1067.0,159.95
Sep 2023,470.0,427.0,44.0,9.0,153.0,9.0,17.0,170.0,5.0,161.0,23.99
Dec 2023,678.0,622.0,57.0,8.0,192.0,22.0,18.0,210.0,12.0,185.0,27.55
Mar 2024,266.0,256.0,10.0,4.0,249.0,5.0,21.0,234.0,2.0,230.0,34.42
Jun 2024,938.0,850.0,88.0,9.0,7370.0,31.0,39.0,7388.0,0.0,7367.0,1106.08
Sep 2024,1045.0,943.0,102.0,10.0,56.0,29.0,40.0,89.0,34.0,59.0,9.01
Dec 2024,466.0,435.0,31.0,7.0,95.0,16.0,37.0,73.0,1.0,72.0,10.83
Mar 2025,557.0,513.0,44.0,8.0,156.0,17.0,37.0,146.0,6.0,137.0,19.93
