index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2013,311,395,2240,341,3287,1968,28,64,1227,3287
Mar 2014,311,617,1862,391,3181,1796,36,115,1234,3181
Mar 2015,509,947,2580,472,4507,2864,222,31,1390,4507
Mar 2016,509,1927,3503,591,6529,4693,62,72,1702,6529
Mar 2017,498,2259,2849,578,6184,4345,123,105,1611,6184
Mar 2018,498,2228,2798,639,6163,3902,177,115,1969,6163
Mar 2019,498,2475,2436,747,6156,3717,132,198,2109,6156
Mar 2020,498,2523,1991,764,5776,3681,145,128,1822,5776
Mar 2021,510,2819,1562,881,5772,3791,64,1,1915,5772
Mar 2022,510,3335,1597,1048,6489,3713,83,2,2691,6489
Mar 2023,510,3683,1442,1194,6829,4094,368,0,2366,6829
Mar 2024,510,3806,2126,1122,7563,4608,88,49,2819,7563
Sep 2024,510,3776,1614,949,6848,4512,70,51,2215,6848
