index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Dec 2021,1980.0,1574.0,406.0,21.0,-23.0,22.0,78.0,284.0,26.0,211.0,0.41
Mar 2022,1870.0,1532.0,338.0,18.0,7.0,19.0,81.0,244.0,26.0,181.0,0.36
Jun 2022,1680.0,1418.0,262.0,16.0,5.0,19.0,76.0,172.0,25.0,129.0,0.25
Sep 2022,1438.0,1297.0,141.0,10.0,5.0,20.0,78.0,48.0,22.0,37.0,0.07
Dec 2022,1641.0,1367.0,274.0,17.0,8.0,19.0,78.0,186.0,22.0,144.0,0.28
Mar 2023,1573.0,1305.0,269.0,17.0,7.0,22.0,80.0,173.0,24.0,131.0,0.25
Jun 2023,1494.0,1262.0,231.0,15.0,11.0,32.0,89.0,122.0,25.0,91.0,0.18
Sep 2023,1798.0,1557.0,240.0,13.0,15.0,35.0,89.0,130.0,31.0,90.0,0.18
Dec 2023,1835.0,1572.0,263.0,14.0,14.0,40.0,90.0,146.0,25.0,109.0,0.21
Mar 2024,1682.0,1477.0,205.0,12.0,18.0,49.0,96.0,78.0,24.0,59.0,0.11
Jun 2024,1743.0,1517.0,225.0,13.0,15.0,47.0,92.0,102.0,28.0,74.0,0.14
Sep 2024,1713.0,1487.0,226.0,13.0,11.0,46.0,92.0,99.0,16.0,83.0,0.16
Dec 2024,1667.0,1453.0,214.0,13.0,15.0,35.0,93.0,102.0,21.0,80.0,0.16
