index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2011,16,117,652,82,868,481,30,1,355,868
Mar 2012,16,19,660,86,781,554,22,1,205,781
Mar 2013,18,23,654,129,823,517,14,3,290,823
Mar 2014,20,32,613,154,819,490,8,8,313,819
Mar 2015,22,6,581,149,758,397,4,0,357,758
Mar 2016,22,-40,534,159,676,368,7,0,301,676
Mar 2017,22,-86,530,189,655,363,7,0,286,655
Mar 2018,22,-258,581,168,513,340,3,0,170,513
Mar 2019,22,-414,446,270,324,211,0,0,112,324
Mar 2020,22,-313,490,113,313,196,0,0,117,313
Mar 2021,22,-371,523,131,306,183,0,0,123,306
Mar 2022,22,-386,529,161,326,170,0,0,156,326
