index,0,1,2,3,4,5,6,7,8,9,10,11
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,Dividend Payout
Mar 2011,803.0,689.0,114.0,14.0,5.0,57.0,39.0,23.0,40.0,14.0,0.77,0.0
Mar 2012,852.0,871.0,-19.0,-2.0,22.0,86.0,45.0,-127.0,-18.0,-100.0,-4.55,0.0
Mar 2013,939.0,837.0,102.0,11.0,13.0,76.0,52.0,-13.0,-48.0,-7.0,-0.21,0.0
Mar 2014,1051.0,947.0,104.0,10.0,24.0,88.0,48.0,-8.0,-18.0,-6.0,-0.25,0.0
Mar 2015,1019.0,950.0,69.0,7.0,-10.0,91.0,42.0,-74.0,-40.0,-45.0,-1.54,0.0
Mar 2016,951.0,889.0,62.0,6.0,52.0,90.0,38.0,-15.0,0.0,-15.0,-0.52,0.0
Mar 2017,925.0,863.0,61.0,7.0,12.0,77.0,30.0,-33.0,0.0,-33.0,-1.15,0.0
Mar 2018,637.0,698.0,-61.0,-10.0,3.0,84.0,30.0,-172.0,0.0,-172.0,-5.9,0.0
Mar 2019,808.0,807.0,2.0,0.0,2.0,60.0,18.0,-74.0,0.0,-74.0,-2.54,0.0
Mar 2020,560.0,560.0,-0.0,-0.0,177.0,60.0,16.0,102.0,0.0,102.0,3.5,0.0
Mar 2021,507.0,493.0,15.0,3.0,3.0,59.0,15.0,-57.0,0.0,-57.0,-1.95,0.0
Mar 2022,928.0,868.0,59.0,6.0,3.0,64.0,14.0,-16.0,0.0,-16.0,-0.53,0.0
