index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Dec 2018,202.74,203.97,-1.23,-0.61,0.84,14.74,4.62,-19.75,0.0,-19.75,-0.68
Mar 2019,213.33,209.92,3.41,1.6,0.52,14.63,4.44,-15.14,0.0,-15.14,-0.52
Jun 2019,204.5,204.85,-0.35,-0.17,0.66,14.25,4.58,-18.52,0.0,-18.52,-0.64
Sep 2019,97.83,100.57,-2.74,-2.8,0.74,15.34,3.79,-21.13,0.0,-21.14,-0.73
Dec 2019,122.94,124.69,-1.75,-1.42,0.94,15.53,3.75,-20.09,0.0,-20.09,-0.69
Mar 2020,135.59,131.03,4.56,3.36,175.19,14.57,3.59,161.59,0.0,161.59,5.55
Jun 2020,42.79,45.94,-3.15,-7.36,0.66,15.35,3.7,-21.54,0.0,-21.53,-0.74
Sep 2020,120.64,120.7,-0.06,-0.05,0.65,16.54,3.88,-19.83,0.05,-19.84,-0.68
Dec 2020,151.12,151.36,-0.24,-0.16,0.66,11.06,3.5,-14.14,0.0,-14.14,-0.49
Mar 2021,193.97,176.16,17.81,9.18,0.64,16.05,3.58,-1.18,0.0,-1.19,-0.04
Jun 2021,191.58,173.9,17.68,9.23,0.6,15.21,3.52,-0.45,0.0,-0.45,-0.02
Sep 2021,215.13,198.83,16.3,7.58,1.14,15.76,3.51,-1.83,0.0,-1.83,-0.06
Dec 2021,244.0,231.99,12.01,4.92,0.78,15.82,3.44,-6.47,0.0,-6.46,-0.22
