Company,Financial_Metric,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Heavy_Investment_Years
ACC_cash_flow,OCF,1577.0,1063.0,1352.0,1457.0,1390.0,1554.0,1118.0,2255.0,2219.0,2835.0,1639.81175053865,-1235.0,2995.0,1419.24368213117,None
AMBUJACEM_cash_flow,OCF,1860.0,1267.0,1675.0,1557.0,2810.0,3416.0,1703.0,4739.0,4832.0,5309.0,4012.83932872117,735.0,5646.0,4077.99926191568,"2016, 2019, 2022, 2023, 2024, 2025"
DALBHARAT_cash_flow,OCF,-1321.04545342922,-584.272726714611,74.575758010149,655.500000029802,1158.49999985099,1875.0,1606.0,1843.0,2340.0,3604.0,1932.0,2252.0,2635.0,2117.0,None
SHREECEM_cash_flow,OCF,496.227272756398,1260.0,1401.0,1239.0,1566.0,2202.0,1879.0,2080.0,3973.0,4254.0,2668.0,2569.0,3347.0,3333.77272741497,"2018, 2020"
ULTRACEMCO_cash_flow,OCF,2426.59090878069,3618.0,3455.0,4190.0,4526.0,5005.0,3888.0,5956.0,8972.0,12500.0,9283.0,9069.0,10898.0,12430.954545334,"2012, 2013, 2014, 2015, 2017, 2021"
ACC_cash_flow,CAPEX,-308.0,-862.0,-1457.0,-904.0,-533.0,-379.0,-364.0,-321.0,-535.0,-988.0,-1719.55395688117,-4637.0,-1205.0,-3224.45489789545,None
AMBUJACEM_cash_flow,CAPEX,-388.0,-496.0,-456.0,-83.0,-4165.0,-738.0,-765.0,-1191.0,-1317.0,-2007.0,-6721.64508247375,-14481.0,-8941.0,-13811.5000911951,"2016, 2019, 2022, 2023, 2024, 2025"
DALBHARAT_cash_flow,CAPEX,878.654112264514,795.953246802092,680.836796373129,533.304761752486,353.357142888009,-139.0,135.0,189.0,-1760.0,-300.0,-1045.0,-2326.0,-2750.0,-2270.0,None
SHREECEM_cash_flow,CAPEX,926.431818395853,-270.0,-1234.0,-990.0,-1265.0,-2048.0,-3595.0,-720.0,-5590.0,-2651.0,-2143.0,-2405.0,-1418.0,-1160.79545581341,"2018, 2020"
ULTRACEMCO_cash_flow,CAPEX,-6115.20454549789,-4362.0,-2342.0,-2144.0,-3673.0,-2501.0,1866.0,1165.0,-4192.0,-8856.0,2257.0,-7188.0,-8789.0,-10351.2499973774,"2012, 2013, 2014, 2015, 2017, 2021"
ACC_cash_flow,FCF,1885.0,1925.0,2809.0,2361.0,1923.0,1933.0,1482.0,2576.0,2754.0,3823.0,3359.36570741982,3402.0,4200.0,4643.69858002662,None
AMBUJACEM_cash_flow,FCF,2248.0,1763.0,2131.0,1640.0,6975.0,4154.0,2468.0,5930.0,6149.0,7316.0,10734.48441119492,15216.0,14587.0,17889.49935311078,"2016, 2019, 2022, 2023, 2024, 2025"
DALBHARAT_cash_flow,FCF,-2199.6995656937343,-1380.225973516703,-606.26103836298,122.19523827731598,805.142856962981,2014.0,1471.0,1654.0,4100.0,3904.0,2977.0,4578.0,5385.0,4387.0,None
SHREECEM_cash_flow,FCF,-430.20454563945503,1530.0,2635.0,2229.0,2831.0,4250.0,5474.0,2800.0,9563.0,6905.0,4811.0,4974.0,4765.0,4494.56818322838,"2018, 2020"
ULTRACEMCO_cash_flow,FCF,8541.79545427858,7980.0,5797.0,6334.0,8199.0,7506.0,2022.0,4791.0,13164.0,21356.0,7026.0,16257.0,19687.0,22782.2045427114,"2012, 2013, 2014, 2015, 2017, 2021"
ACC_cash_flow,FCF_Rank,13.0,11.0,6.0,9.0,12.0,10.0,14.0,8.0,7.0,3.0,5.0,4.0,2.0,1.0,None
AMBUJACEM_cash_flow,FCF_Rank,11.0,13.0,12.0,14.0,6.0,9.0,10.0,8.0,7.0,5.0,4.0,2.0,3.0,1.0,"2016, 2019, 2022, 2023, 2024, 2025"
DALBHARAT_cash_flow,FCF_Rank,14.0,13.0,12.0,11.0,10.0,7.0,9.0,8.0,4.0,5.0,6.0,2.0,1.0,3.0,None
SHREECEM_cash_flow,FCF_Rank,14.0,13.0,11.0,12.0,9.0,8.0,3.0,10.0,1.0,2.0,5.0,4.0,6.0,7.0,"2018, 2020"
ULTRACEMCO_cash_flow,FCF_Rank,6.0,8.0,12.0,11.0,7.0,9.0,14.0,13.0,5.0,2.0,10.0,4.0,3.0,1.0,"2012, 2013, 2014, 2015, 2017, 2021"
ACC_cash_flow,Financing_CF,-1066.0,-834.0,-837.0,-716.0,-430.0,-426.0,-380.0,-374.0,-327.0,-331.0,-547.428057551384,-1238.0,-443.0,-975.085777282715,None
AMBUJACEM_cash_flow,Financing_CF,-509.0,-672.0,-721.0,-900.0,-958.0,-1015.0,-719.0,-629.0,-3956.0,-516.0,1502.14388459921,2931.0,5689.0,6243.90536415577,"2016, 2019, 2022, 2023, 2024, 2025"
